mV,mV,mV,mV,mV
-3.186694167,-2.186694167,-1.186694167,-0.186694167,0.813305833
-3.209773089,-2.209773089,-1.209773089,-0.209773089,0.790226911
-3.209773089,-2.209773089,-1.209773089,-0.209773089,0.790226911
-3.209773089,-2.209773089,-1.209773089,-0.209773089,0.790226911
-3.209773089,-2.209773089,-1.209773089,-0.209773089,0.790226911
-3.209773089,-2.209773089,-1.209773089,-0.209773089,0.790226911
-3.021535638,-2.021535638,-1.021535638,-0.021535638,0.978464362
-2.9180411,-1.9180411,-0.9180411,0.0819589,1.0819589
-2.859983189,-1.859983189,-0.859983189,0.140016811,1.140016811
-2.820676901,-1.820676901,-0.820676901,0.179323099,1.179323099
-2.808776833,-1.808776833,-0.808776833,0.191223167,1.191223167
-2.793631291,-1.793631291,-0.793631291,0.206368709,1.206368709
-2.764422031,-1.764422031,-0.764422031,0.235577969,1.235577969
-2.79182825,-1.79182825,-0.79182825,0.20817175,1.20817175
-2.870801433,-1.870801433,-0.870801433,0.129198567,1.129198567
-2.899289477,-1.899289477,-0.899289477,0.100710523,1.100710523
-2.945807927,-1.945807927,-0.945807927,0.054192073,1.054192073
