mV,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,yyyy/mm/dd hh:mm:ss.000
1150.915751,6.144578313,-0.228915663,7.722891566,1261.072532,-1,51:16.4
1153.846154,6.144578313,-0.240963855,7.722891566,1261.072532,-1,51:16.4
1154.578755,6.168674699,-0.228915663,7.746987952,1261.072532,-1,51:16.4
1157.509158,6.168674699,-0.228915663,7.734939759,1261.072532,-1,51:16.4
1163.369963,6.168674699,-0.21686747,7.722891566,1261.79781,-1,51:16.4
1172.161172,6.168674699,-0.228915663,7.710843373,1261.072532,-1,51:16.4
1180.952381,6.156626506,-0.228915663,7.698795181,1261.79781,-1,51:16.4
1189.74359,6.168674699,-0.228915663,7.734939759,1261.072532,-1,51:16.4
1194.871795,6.168674699,-0.253012048,7.722891566,1261.072532,-1,51:16.5
1197.069597,6.144578313,-0.21686747,7.734939759,1261.072532,-1,51:16.5
1197.802198,6.13253012,-0.228915663,7.734939759,1261.072532,-1,51:16.5
1197.802198,6.156626506,-0.240963855,7.746987952,1261.79781,-1,51:16.5
1196.336996,6.168674699,-0.228915663,7.734939759,1261.072532,-1,51:16.5
1190.47619,6.21686747,-0.204819277,7.722891566,1261.072532,-1,51:16.5
1184.615385,6.180722892,-0.204819277,7.722891566,1261.79781,-1,51:16.5
1180.21978,6.13253012,-0.204819277,7.722891566,1261.79781,-1,51:16.5
1175.091575,6.156626506,-0.228915663,7.722891566,1261.79781,-1,51:16.5
1169.230769,6.13253012,-0.240963855,7.734939759,1261.072532,-1,51:16.5
1164.102564,6.120481928,-0.253012048,7.746987952,1261.79781,-1,51:16.5
1158.241758,6.13253012,-0.253012048,7.746987952,1261.79781,-1,51:16.5
1152.380952,6.168674699,-0.21686747,7.734939759,1261.79781,-1,51:16.5
1146.520147,6.180722892,-0.204819277,7.734939759,1261.79781,-1,51:16.6
1142.124542,6.156626506,-0.204819277,7.722891566,1261.072532,-1,51:16.6
1141.391941,6.168674699,-0.21686747,7.746987952,1261.79781,-1,51:16.6
1141.391941,6.180722892,-0.228915663,7.722891566,1262.523922,-1,51:16.6
1142.124542,6.13253012,-0.228915663,7.746987952,1261.79781,-1,51:16.6
1143.589744,6.120481928,-0.228915663,7.734939759,1262.523922,-1,51:16.6
1146.520147,6.156626506,-0.21686747,7.722891566,1261.79781,-1,51:16.6
1150.915751,6.204819277,-0.192771084,7.722891566,1261.79781,-1,51:16.6
1158.974359,6.180722892,-0.204819277,7.710843373,1261.79781,-1,51:16.6
1169.230769,6.180722892,-0.204819277,7.710843373,1261.79781,-1,51:16.6
1185.347985,6.180722892,-0.21686747,7.722891566,1261.79781,-1,51:16.6
1209.52381,6.156626506,-0.21686747,7.722891566,1261.79781,-1,51:16.6
1241.025641,6.156626506,-0.21686747,7.734939759,1261.79781,-1,51:16.6
1280.586081,6.13253012,-0.228915663,7.710843373,1262.523922,-1,51:16.7
1326.739927,6.120481928,-0.228915663,7.722891566,1262.523922,-1,51:16.7
1378.754579,6.13253012,-0.228915663,7.710843373,1262.523922,-1,51:16.7
1435.897436,6.156626506,-0.228915663,7.746987952,1262.523922,-1,51:16.7
1493.772894,6.168674699,-0.253012048,7.722891566,1262.523922,-1,51:16.7
1549.450549,6.192771084,-0.253012048,7.722891566,1262.523922,-1,51:16.7
1603.663004,6.204819277,-0.240963855,7.710843373,1261.79781,-1,51:16.7
1651.282051,6.192771084,-0.21686747,7.722891566,1261.79781,-1,51:16.7
1692.307692,6.180722892,-0.21686747,7.722891566,1262.523922,-1,51:16.7
1726.739927,6.156626506,-0.21686747,7.722891566,1262.523922,-1,51:16.7
1751.648352,6.168674699,-0.204819277,7.734939759,1262.523922,-1,51:16.7
1767.032967,6.168674699,-0.204819277,7.722891566,1261.79781,-1,51:16.7
1775.091575,6.156626506,-0.21686747,7.734939759,1261.79781,-1,51:16.8
1775.091575,6.168674699,-0.21686747,7.722891566,1261.79781,-1,51:16.8
1771.428571,6.156626506,-0.192771084,7.722891566,1261.79781,-1,51:16.8
1764.835165,6.168674699,-0.228915663,7.734939759,1261.79781,-1,51:16.8
1759.70696,6.168674699,-0.228915663,7.710843373,1261.79781,-1,51:16.8
1752.380952,6.156626506,-0.240963855,7.722891566,1261.79781,-1,51:16.8
1741.391941,6.180722892,-0.228915663,7.722891566,1262.523922,-1,51:16.8
1726.007326,6.180722892,-0.21686747,7.722891566,1261.79781,-1,51:16.8
1705.494505,6.168674699,-0.21686747,7.722891566,1262.523922,-1,51:16.8
1680.586081,6.144578313,-0.21686747,7.722891566,1261.79781,-1,51:16.8
1651.282051,6.120481928,-0.228915663,7.710843373,1261.79781,-1,51:16.8
1622.710623,6.13253012,-0.228915663,7.746987952,1262.523922,-1,51:16.8
1593.406593,6.144578313,-0.253012048,7.746987952,1262.523922,-1,51:16.8
1564.835165,6.168674699,-0.253012048,7.722891566,1262.523922,-1,51:16.9
1542.857143,6.180722892,-0.204819277,7.710843373,1261.79781,-1,51:16.9
1522.344322,6.156626506,-0.204819277,7.734939759,1261.79781,-1,51:16.9
1505.494505,6.180722892,-0.204819277,7.722891566,1263.25087,-1,51:16.9
1499.6337,6.228915663,-0.192771084,7.698795181,1262.523922,-1,51:16.9
1498.901099,6.21686747,-0.204819277,7.710843373,1261.79781,-1,51:16.9
1503.296703,6.180722892,-0.204819277,7.710843373,1262.523922,-1,51:16.9
1510.622711,6.144578313,-0.21686747,7.734939759,1263.25087,-1,51:16.9
1517.948718,6.13253012,-0.228915663,7.734939759,1263.25087,-1,51:16.9
1522.344322,6.144578313,-0.21686747,7.759036145,1262.523922,-1,51:16.9
1526.007326,6.156626506,-0.21686747,7.734939759,1262.523922,-1,51:16.9
1528.937729,6.120481928,-0.228915663,7.710843373,1263.25087,-1,51:16.9
1531.135531,6.13253012,-0.228915663,7.698795181,1263.25087,-1,51:16.9
1529.67033,6.168674699,-0.228915663,7.710843373,1263.25087,-1,51:17.0
1522.344322,6.168674699,-0.228915663,7.734939759,1262.523922,-1,51:17.0
1509.89011,6.156626506,-0.240963855,7.722891566,1262.523922,-1,51:17.0
1495.970696,6.144578313,-0.204819277,7.722891566,1263.25087,-1,51:17.0
1480.586081,6.168674699,-0.21686747,7.722891566,1262.523922,-1,51:17.0
1466.666667,6.204819277,-0.21686747,7.722891566,1262.523922,-1,51:17.0
1454.945055,6.204819277,-0.240963855,7.734939759,1263.25087,-1,51:17.0
1442.490842,6.192771084,-0.240963855,7.698795181,1262.523922,-1,51:17.0
1427.106227,6.180722892,-0.204819277,7.698795181,1263.25087,-1,51:17.0
1410.989011,6.168674699,-0.228915663,7.698795181,1262.523922,-1,51:17.0
1389.74359,6.168674699,-0.228915663,7.722891566,1263.25087,-1,51:17.0
1369.230769,6.156626506,-0.21686747,7.722891566,1262.523922,-1,51:17.0
1349.450549,6.168674699,-0.21686747,7.722891566,1263.25087,-1,51:17.0
1329.67033,6.168674699,-0.228915663,7.722891566,1262.523922,-1,51:17.1
1310.622711,6.156626506,-0.228915663,7.710843373,1263.25087,-1,51:17.1
1295.970696,6.168674699,-0.228915663,7.722891566,1263.25087,-1,51:17.1
1280.586081,6.156626506,-0.21686747,7.710843373,1263.25087,-1,51:17.1
1268.131868,6.168674699,-0.21686747,7.722891566,1262.523922,-1,51:17.1
1258.608059,6.180722892,-0.228915663,7.734939759,1263.25087,-1,51:17.1
1248.351648,6.156626506,-0.21686747,7.734939759,1263.25087,-1,51:17.1
1240.29304,6.156626506,-0.21686747,7.722891566,1262.523922,-1,51:17.1
1235.164835,6.192771084,-0.21686747,7.710843373,1263.25087,-1,51:17.1
1230.769231,6.192771084,-0.240963855,7.710843373,1263.25087,-1,51:17.1
1224.908425,6.180722892,-0.240963855,7.698795181,1263.25087,-1,51:17.1
1219.78022,6.180722892,-0.228915663,7.722891566,1263.25087,-1,51:17.1
1213.186813,6.168674699,-0.21686747,7.710843373,1262.523922,-1,51:17.1
1207.326007,6.168674699,-0.228915663,7.698795181,1263.25087,-1,51:17.2
1204.395604,6.180722892,-0.21686747,7.722891566,1263.25087,-1,51:17.2
1201.465201,6.180722892,-0.21686747,7.710843373,1263.25087,-1,51:17.2
1199.267399,6.168674699,-0.21686747,7.710843373,1263.25087,-1,51:17.2
1198.534799,6.180722892,-0.204819277,7.710843373,1263.25087,-1,51:17.2
1197.069597,6.168674699,-0.21686747,7.722891566,1263.25087,-1,51:17.2
1195.604396,6.180722892,-0.21686747,7.710843373,1263.25087,-1,51:17.2
1194.139194,6.180722892,-0.21686747,7.722891566,1263.25087,-1,51:17.2
1193.406593,6.168674699,-0.204819277,7.710843373,1263.25087,-1,51:17.2
1196.336996,6.180722892,-0.204819277,7.710843373,1263.25087,-1,51:17.2
1197.069597,6.168674699,-0.21686747,7.710843373,1263.978656,-1,51:17.2
1199.267399,6.180722892,-0.21686747,7.710843373,1263.978656,-1,51:17.2
1201.465201,6.168674699,-0.253012048,7.710843373,1263.978656,-1,51:17.3
1202.197802,6.180722892,-0.21686747,7.734939759,1263.25087,-1,51:17.3
1201.465201,6.156626506,-0.21686747,7.746987952,1263.25087,-1,51:17.3
1200.732601,6.168674699,-0.204819277,7.722891566,1263.25087,-1,51:17.3
1200,6.180722892,-0.204819277,7.722891566,1263.978656,-1,51:17.3
1195.604396,6.180722892,-0.192771084,7.686746988,1263.25087,-1,51:17.3
1194.139194,6.192771084,-0.21686747,7.710843373,1263.978656,-1,51:17.3
1191.941392,6.180722892,-0.240963855,7.734939759,1263.25087,-1,51:17.3
1189.74359,6.204819277,-0.240963855,7.698795181,1263.978656,-1,51:17.3
1188.278388,6.168674699,-0.204819277,7.710843373,1263.978656,-1,51:17.3
1186.080586,6.120481928,-0.204819277,7.734939759,1263.978656,-1,51:17.3
1183.882784,6.13253012,-0.228915663,7.734939759,1263.978656,-1,51:17.3
1181.684982,6.192771084,-0.21686747,7.722891566,1263.978656,-1,51:17.3
1179.487179,6.192771084,-0.228915663,7.722891566,1263.978656,-1,51:17.4
1178.021978,6.156626506,-0.204819277,7.710843373,1263.978656,-1,51:17.4
1178.754579,6.13253012,-0.228915663,7.710843373,1263.25087,-1,51:17.4
1179.487179,6.180722892,-0.228915663,7.734939759,1263.978656,-1,51:17.4
1180.952381,6.180722892,-0.228915663,7.710843373,1263.978656,-1,51:17.4
1181.684982,6.168674699,-0.21686747,7.722891566,1263.978656,-1,51:17.4
1183.150183,6.120481928,-0.204819277,7.734939759,1263.978656,-1,51:17.4
1188.278388,6.144578313,-0.21686747,7.710843373,1263.978656,-1,51:17.4
1192.673993,6.168674699,-0.228915663,7.734939759,1263.978656,-1,51:17.4
1195.604396,6.192771084,-0.21686747,7.722891566,1263.978656,-1,51:17.4
1200,6.156626506,-0.21686747,7.710843373,1263.978656,-1,51:17.4
1202.197802,6.13253012,-0.21686747,7.722891566,1263.978656,-1,51:17.4
1203.663004,6.180722892,-0.21686747,7.710843373,1263.25087,-1,51:17.4
1205.860806,6.192771084,-0.228915663,7.710843373,1264.707281,-1,51:17.5
1205.860806,6.180722892,-0.240963855,7.722891566,1263.978656,-1,51:17.5
1204.395604,6.156626506,-0.228915663,7.746987952,1263.978656,-1,51:17.5
1201.465201,6.108433735,-0.204819277,7.710843373,1263.978656,-1,51:17.5
1197.802198,6.168674699,-0.180722892,7.710843373,1263.978656,-1,51:17.5
1194.139194,6.204819277,-0.204819277,7.710843373,1263.978656,-1,51:17.5
1191.208791,6.204819277,-0.228915663,7.710843373,1264.707281,-1,51:17.5
1187.545788,6.192771084,-0.228915663,7.722891566,1263.978656,-1,51:17.5
1184.615385,6.156626506,-0.21686747,7.722891566,1264.707281,-1,51:17.5
1180.21978,6.144578313,-0.21686747,7.734939759,1263.978656,-1,51:17.5
1178.754579,6.13253012,-0.240963855,7.734939759,1263.978656,-1,51:17.5
1179.487179,6.168674699,-0.21686747,7.746987952,1263.978656,-1,51:17.5
1179.487179,6.180722892,-0.240963855,7.734939759,1263.25087,-1,51:17.5
1178.021978,6.180722892,-0.204819277,7.722891566,1264.707281,-1,51:17.6
1180.21978,6.180722892,-0.204819277,7.722891566,1265.436747,-1,51:17.6
1180.21978,6.204819277,-0.204819277,7.734939759,1264.707281,-1,51:17.6
1181.684982,6.180722892,-0.204819277,7.710843373,1264.707281,-1,51:17.6
1183.150183,6.156626506,-0.228915663,7.722891566,1263.978656,-1,51:17.6
1184.615385,6.13253012,-0.21686747,7.710843373,1264.707281,-1,51:17.6
1185.347985,6.168674699,-0.228915663,7.722891566,1264.707281,-1,51:17.6
1187.545788,6.192771084,-0.240963855,7.722891566,1264.707281,-1,51:17.6
1189.010989,6.192771084,-0.21686747,7.722891566,1263.978656,-1,51:17.6
1191.941392,6.180722892,-0.228915663,7.722891566,1264.707281,-1,51:17.6
1200,6.180722892,-0.204819277,7.746987952,1263.978656,-1,51:17.6
1211.721612,6.156626506,-0.21686747,7.734939759,1264.707281,-1,51:17.6
1229.304029,6.180722892,-0.192771084,7.722891566,1264.707281,-1,51:17.6
1256.410256,6.180722892,-0.21686747,7.734939759,1264.707281,-1,51:17.7
1288.644689,6.144578313,-0.240963855,7.722891566,1264.707281,-1,51:17.7
1324.542125,6.144578313,-0.228915663,7.722891566,1264.707281,-1,51:17.7
1363.369963,6.144578313,-0.228915663,7.734939759,1264.707281,-1,51:17.7
1405.128205,6.144578313,-0.240963855,7.722891566,1264.707281,-1,51:17.7
1446.886447,6.168674699,-0.228915663,7.722891566,1265.436747,-1,51:17.7
1487.912088,6.180722892,-0.21686747,7.710843373,1264.707281,-1,51:17.7
1523.809524,6.168674699,-0.228915663,7.734939759,1264.707281,-1,51:17.7
1557.509158,6.168674699,-0.228915663,7.722891566,1265.436747,-1,51:17.7
1585.347985,6.204819277,-0.204819277,7.734939759,1264.707281,-1,51:17.7
1608.791209,6.180722892,-0.192771084,7.746987952,1265.436747,-1,51:17.7
1629.304029,6.156626506,-0.192771084,7.722891566,1264.707281,-1,51:17.7
1646.153846,6.168674699,-0.228915663,7.734939759,1264.707281,-1,51:17.8
1659.340659,6.156626506,-0.204819277,7.722891566,1265.436747,-1,51:17.8
1668.864469,6.144578313,-0.21686747,7.710843373,1263.978656,-1,51:17.8
1672.527473,6.144578313,-0.21686747,7.722891566,1264.707281,-1,51:17.8
1668.864469,6.144578313,-0.253012048,7.710843373,1265.436747,-1,51:17.8
1659.340659,6.144578313,-0.21686747,7.746987952,1264.707281,-1,51:17.8
1643.956044,6.180722892,-0.21686747,7.746987952,1265.436747,-1,51:17.8
1624.175824,6.21686747,-0.21686747,7.722891566,1264.707281,-1,51:17.8
1604.395604,6.168674699,-0.204819277,7.734939759,1264.707281,-1,51:17.8
1581.684982,6.13253012,-0.21686747,7.746987952,1265.436747,-1,51:17.8
1559.70696,6.108433735,-0.21686747,7.734939759,1265.436747,-1,51:17.8
1534.065934,6.13253012,-0.228915663,7.746987952,1264.707281,-1,51:17.8
1510.622711,6.120481928,-0.240963855,7.746987952,1265.436747,-1,51:17.8
1490.10989,6.144578313,-0.253012048,7.722891566,1264.707281,-1,51:17.9
1471.062271,6.156626506,-0.240963855,7.710843373,1265.436747,-1,51:17.9
1456.410256,6.204819277,-0.228915663,7.734939759,1264.707281,-1,51:17.9
1447.619048,6.21686747,-0.204819277,7.710843373,1265.436747,-1,51:17.9
1444.688645,6.204819277,-0.192771084,7.710843373,1264.707281,-1,51:17.9
1446.153846,6.180722892,-0.180722892,7.722891566,1265.436747,-1,51:17.9
1451.282051,6.180722892,-0.192771084,7.722891566,1265.436747,-1,51:17.9
1456.410256,6.180722892,-0.228915663,7.734939759,1265.436747,-1,51:17.9
1462.271062,6.156626506,-0.192771084,7.734939759,1265.436747,-1,51:17.9
1469.59707,6.120481928,-0.204819277,7.722891566,1266.167054,-1,51:17.9
1474.725275,6.120481928,-0.21686747,7.722891566,1264.707281,-1,51:17.9
1479.120879,6.120481928,-0.228915663,7.734939759,1265.436747,-1,51:17.9
1479.85348,6.168674699,-0.21686747,7.722891566,1265.436747,-1,51:17.9
1479.120879,6.180722892,-0.228915663,7.722891566,1264.707281,-1,51:18.0
1474.725275,6.168674699,-0.204819277,7.722891566,1265.436747,-1,51:18.0
